Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
28,Nicolas Batum\batumni01,SF,31,CHO,6,135,9.2,.600,.933,.000,3.2,23.0,12.7,25.3,0.7,1.9,42.3,8.3,,0.1,0.1,0.1,.047,,-3.0,0.4,-2.6,0.0
29,Aron Baynes\baynear01,C,33,PHO,12,288,22.4,.679,.456,.281,6.8,18.8,12.7,20.9,0.6,2.7,9.2,20.9,,1.1,0.3,1.4,.239,,6.0,0.6,6.6,0.6
30,Kent Bazemore\bazemke01,SF,30,POR,17,389,8.1,.460,.485,.216,1.3,17.2,9.2,11.6,1.7,2.7,15.5,18.5,,-0.4,0.3,-0.1,-0.014,,-3.9,0.9,-3.0,-0.1
31,Darius Bazley\bazleda01,PF,19,OKC,15,262,8.7,.559,.533,.200,2.1,20.5,11.6,5.0,0.9,1.6,17.7,13.3,,-0.1,0.3,0.2,.041,,-3.6,0.4,-3.1,-0.1
32,Bradley Beal\bealbr01,SG,26,WAS,14,523,22.7,.583,.373,.296,3.0,10.4,6.6,28.8,1.1,0.5,11.7,31.4,,1.5,-0.1,1.5,.136,,5.2,-3.4,1.8,0.5
33,Malik Beasley\beaslma01,SG,23,DEN,11,164,7.4,.490,.492,.046,2.5,7.2,4.8,8.9,1.8,1.1,16.4,20.7,,-0.2,0.2,0.0,.001,,-3.5,-0.7,-4.3,-0.1
34,Marco Belinelli\belinma01,SG,33,SAS,17,286,4.7,.386,.486,.150,0.4,9.2,4.7,12.2,0.8,0.0,7.3,18.0,,-0.4,0.0,-0.4,-0.070,,-4.3,-3.9,-8.1,-0.4
35,Jordan Bell\belljo01,C,25,MIN,7,67,13.9,.591,.167,.611,13.7,33.3,23.5,13.0,0.0,3.6,34.4,21.1,,-0.1,0.1,0.0,.015,,-5.9,1.3,-4.6,0.0
36,DeAndre' Bembry\bembrde01,SG,25,ATL,16,417,13.1,.576,.194,.286,4.3,13.6,9.0,17.5,2.9,1.5,20.2,13.8,,0.2,0.2,0.5,.056,,-0.8,0.7,0.0,0.2
37,Dragan Bender\bendedr01,SF,22,MIL,1,2,2.4,,,,0.0,0.0,0.0,55.7,0.0,42.9,100.0,20.3,,0.0,0.0,0.0,-0.209,,-28.2,11.0,-17.2,0.0
38,Dāvis Bertāns\bertada01,PF,27,WAS,14,391,15.3,.644,.779,.088,2.4,15.6,8.9,8.4,1.1,1.3,6.6,15.8,,0.9,0.0,0.9,.114,,3.7,-1.9,1.8,0.4
39,Patrick Beverley\beverpa01,PG,31,LAC,15,452,9.9,.474,.570,.167,4.7,17.7,11.4,12.6,2.4,1.8,15.2,13.1,,0.0,0.8,0.8,.089,,-0.8,3.4,2.6,0.5
40,Khem Birch\birchkh01,C,27,ORL,6,92,6.6,.480,.063,.688,6.6,14.4,10.3,1.6,0.5,0.0,8.8,10.7,,0.0,0.1,0.1,.042,,-5.2,-1.3,-6.5,-0.1
41,Goga Bitadze\bitadgo01,C,20,IND,10,170,16.3,.599,.239,.326,8.3,17.7,13.0,9.7,0.3,8.9,14.6,15.5,,0.3,0.3,0.6,.170,,-1.2,4.8,3.7,0.2
42,Bismack Biyombo\biyombi01,C,27,CHO,15,208,20.7,.623,.000,.750,9.8,17.7,13.6,7.8,1.4,4.2,8.6,19.2,,0.6,0.2,0.7,.167,,-0.1,0.2,0.1,0.1
43,Nemanja Bjelica\bjeline01,PF,31,SAC,15,391,17.5,.636,.504,.065,7.7,21.3,14.4,13.5,2.0,1.4,14.2,16.4,,0.8,0.4,1.2,.145,,2.9,0.9,3.9,0.6
44,Eric Bledsoe\bledser01,PG,30,MIL,16,437,19.8,.560,.318,.283,4.0,14.6,9.5,29.2,1.3,1.0,13.5,27.0,,0.9,0.7,1.5,.169,,2.3,0.0,2.2,0.5
45,Bogdan Bogdanović\bogdabo01,SG,27,SAC,14,387,18.8,.582,.580,.213,0.6,11.5,5.9,27.7,2.7,0.2,12.3,23.6,,0.8,0.3,1.1,.136,,4.1,-1.8,2.4,0.4
46,Bojan Bogdanović\bogdabo02,SF,30,UTA,15,493,16.9,.604,.442,.240,2.3,11.0,6.9,11.6,1.1,0.7,13.4,26.2,,0.6,0.7,1.3,.130,,1.6,-0.4,1.2,0.4
47,Jonah Bolden\boldejo01,PF,24,PHI,2,5,7.8,.532,.000,2.000,0.0,0.0,0.0,0.0,9.5,0.0,34.7,24.3,,0.0,0.0,0.0,-0.196,,-9.3,4.0,-5.3,0.0
48,Jordan Bone\bonejo01,PG,22,DET,3,6,-16.3,.400,.200,.000,0.0,0.0,0.0,0.0,0.0,0.0,28.6,50.4,,-0.1,0.0,-0.1,-0.642,,-23.7,-11.2,-34.8,-0.1
49,Isaac Bonga\bongais01,SF,20,WAS,9,152,9.6,.543,.194,.290,4.9,14.6,9.6,9.3,2.1,0.6,14.6,11.0,,0.1,0.0,0.2,.053,,-1.5,0.0,-1.6,0.0
50,Devin Booker\bookede01,SG,23,PHO,16,562,19.3,.640,.307,.292,1.4,10.2,5.7,29.9,0.7,0.8,18.0,28.6,,1.2,0.4,1.6,.134,,3.4,-1.9,1.5,0.5
51,Chris Boucher\bouchch01,PF,27,TOR,13,163,22.4,.553,.313,.297,20.2,18.2,19.1,4.7,1.4,7.0,7.7,20.5,,0.4,0.3,0.8,.231,,1.4,2.3,3.7,0.2
52,Brian Bowen\bowenbr02,SG,21,IND,3,10,1.2,.250,.250,.000,0.0,10.7,5.4,0.0,0.0,8.9,0.0,17.2,,0.0,0.0,0.0,-0.112,,-12.2,0.6,-11.6,0.0
53,Ky Bowman\bowmaky01,PG,22,GSW,17,355,13.0,.556,.331,.074,1.8,9.5,5.6,17.7,2.3,0.2,11.4,16.6,,0.3,0.0,0.3,.046,,-0.4,-2.3,-2.8,-0.1
54,Avery Bradley\bradlav01,SG,29,LAL,10,274,10.5,.548,.333,.095,2.8,9.9,6.4,9.0,1.7,0.3,11.2,15.3,,0.2,0.4,0.6,.097,,-1.3,0.0,-1.3,0.1
55,Tony Bradley\bradlto01,C,22,UTA,11,113,18.7,.642,.000,.333,16.0,20.9,18.6,3.1,0.8,3.0,14.5,18.6,,0.3,0.2,0.5,.203,,-1.1,0.5,-0.6,0.0
56,Jarrell Brantley\brantja01,PF,23,UTA,1,5,21.6,,,,0.0,61.6,32.3,25.7,0.0,17.0,,0.0,,0.0,0.0,0.0,.290,,-7.2,16.4,9.3,0.0
57,Ignas Brazdeikis\brazdig01,SF,21,NYK,4,14,4.1,.381,.286,.286,0.0,0.0,0.0,11.2,0.0,7.1,11.3,27.0,,0.0,0.0,0.0,-0.139,,-10.0,-5.0,-15.1,0.0
58,Mikal Bridges\bridgmi01,SF,23,PHO,16,328,13.1,.547,.351,.392,4.3,15.8,10.0,7.5,3.6,1.1,8.4,12.3,,0.3,0.6,0.9,.132,,-0.6,2.9,2.3,0.4
59,Miles Bridges\bridgmi02,SF,21,CHO,17,539,12.1,.549,.402,.116,4.4,15.0,9.5,9.2,0.8,2.3,13.5,18.3,,0.2,0.2,0.4,.033,,-1.4,-0.7,-2.1,0.0
60,Oshae Brissett\brissos01,SF,21,TOR,2,7,6.8,.500,.333,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.3,,0.0,0.0,0.0,.010,,-4.0,-4.7,-8.7,0.0
61,Ryan Broekhoff\broekry01,SG,29,DAL,4,25,20.0,.750,.625,.000,0.0,20.2,10.4,16.6,1.9,0.0,11.1,15.1,,0.1,0.0,0.1,.216,,3.5,-0.9,2.5,0.0
62,Malcolm Brogdon\brogdma01,PG,27,IND,12,372,22.4,.573,.291,.274,2.0,14.7,8.4,40.7,1.6,0.7,14.9,27.2,,1.0,0.6,1.5,.197,,4.1,0.4,4.5,0.6
63,Dillon Brooks\brookdi01,SG,24,MEM,15,408,12.1,.522,.397,.207,3.6,9.5,6.6,10.7,1.7,1.5,9.3,21.8,,0.2,0.2,0.4,.043,,-0.5,-1.8,-2.3,0.0
64,Bruce Brown\brownbr01,SG,23,DET,16,436,8.8,.469,.225,.279,3.7,12.6,8.2,20.2,1.9,1.7,20.4,15.5,,-0.2,0.3,0.1,.016,,-3.0,0.6,-2.4,0.0
65,Charlie Brown\brownch02,SG,22,ATL,4,16,21.9,.735,.333,1.333,14.0,7.0,10.5,0.0,0.0,5.8,0.0,12.4,,0.1,0.0,0.1,.249,,2.4,-4.5,-2.1,0.0
66,Jaylen Brown\brownja02,SF,23,BOS,12,399,16.8,.558,.311,.283,3.6,18.8,11.3,11.4,1.6,0.7,9.0,23.7,,0.5,0.7,1.1,.137,,0.2,0.5,0.8,0.3
67,Moses Brown\brownmo01,C,20,POR,2,5,-1.0,.000,.000,.000,0.0,60.8,30.4,0.0,0.0,0.0,0.0,8.3,,0.0,0.0,0.0,-0.120,,-18.2,-5.0,-23.2,0.0
68,Sterling Brown\brownst02,SF,24,MIL,13,216,13.5,.582,.524,.206,4.7,25.1,15.4,11.5,1.5,0.8,16.9,15.6,,0.2,0.4,0.6,.134,,-0.9,1.2,0.3,0.1
69,Troy Brown\browntr01,SG,20,WAS,11,238,12.1,.483,.300,.114,6.7,18.7,12.5,12.7,2.3,0.4,13.0,14.5,,0.1,0.1,0.2,.046,,-1.2,0.1,-1.1,0.1
70,Jalen Brunson\brunsja01,PG,23,DAL,16,282,16.6,.553,.314,.245,3.8,12.2,8.1,23.1,1.7,0.0,11.7,19.1,,0.6,0.2,0.8,.133,,1.0,-1.2,-0.2,0.1
71,Thomas Bryant\bryanth01,C,22,WAS,14,405,20.0,.612,.208,.268,9.7,23.6,16.5,11.7,0.7,3.3,11.2,18.9,,1.1,0.1,1.2,.143,,1.8,0.2,2.0,0.4
72,Trey Burke\burketr01,PG,27,PHI,6,105,12.3,.427,.244,.195,4.3,7.3,5.9,26.0,0.9,0.8,4.3,18.7,,0.1,0.1,0.2,.097,,-1.5,-2.3,-3.8,0.0
73,Alec Burks\burksal01,SG,28,GSW,14,386,16.5,.568,.342,.426,1.9,15.3,8.4,14.1,1.3,1.3,8.9,21.9,,0.7,0.0,0.7,.089,,0.5,-2.5,-2.0,0.0
74,Deonte Burton\burtode02,SG,26,OKC,7,52,9.3,.575,.550,.000,0.0,16.2,8.3,3.1,0.9,0.0,13.0,19.4,,0.0,0.0,0.0,.019,,-3.3,-3.1,-6.5,-0.1
75,Jimmy Butler\butleji01,SF,30,MIA,12,407,24.1,.571,.214,.636,6.9,11.7,9.4,30.1,3.8,2.4,13.2,23.9,,1.3,0.9,2.1,.252,,3.2,3.2,6.4,0.9
76,Bruno Caboclo\cabocbr01,SF,24,MEM,9,85,13.7,.484,.406,.000,7.5,15.2,11.3,8.4,2.2,8.2,11.1,17.5,,0.0,0.1,0.1,.048,,-2.6,3.0,0.4,0.1
77,Kentavious Caldwell-Pope\caldwke01,SG,26,LAL,16,354,10.6,.556,.394,.147,2.8,8.6,5.7,8.0,1.5,0.3,10.1,15.5,,0.3,0.5,0.8,.102,,-1.0,-0.6,-1.6,0.0
78,Vlatko Čančar\cancavl01,SF,22,DEN,1,2,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,.026,,-6.2,1.2,-5.1,0.0
79,Clint Capela\capelca01,C,25,HOU,15,478,21.9,.622,.000,.274,11.9,34.5,23.2,5.0,1.3,5.3,11.6,16.8,,1.1,0.8,1.9,.192,,-1.7,2.5,0.7,0.3
